Type,Planned For,Filed Against,ID,Requirement Type,Summary,Severity,Customer Impact,State,Customer Name,Region,Tag,Owner,Priority,FMEA Total,Creation Date,Resolution date,Modification Time
Issue,Designer Rev1.15.0 Plan,DIAStudio/DIADesigner,578046,Anomaly,[JIRA] (調適) [IABGVOC-1897] 功能块IN_OUT_PUT引脚状态无法展开监控,Major,High,Review,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_monitable, step_control",Unassigned,High,400,2026/4/24 上午 8:39,,2026/5/6 下午 2:23
Issue,Unassigned,DIAStudio/DIADesigner,576719,Anomaly,[JIRA] (程式編輯) [IABGVOC-1902] 凸轮指令执行错误，用示波器抓取有错误，但是软体显示无错误,,,,,,Critical,,,,,,
Issue,Designer Rev1.14.0 Sprint3,DIAStudio/DIADesigner,576144,Anomaly,[JIRA] (調適) [IABGVOC-1888] 仿真模式，示波器上看不到波形图,Major,Medium,Review,韓軼,IA Internal-SC,"jira_voc_dgc, oscilloscope, 1.14.0_initial",JOHNNY.MC.YEH 葉明勳,High,240,2026/4/10 下午 5:49,,2026/5/13 上午 11:07
Issue,Designer Rev1.14.0 Sprint1,DIAStudio/DIADesigner,575987,Anomaly,[JIRA] (調適) [IABGVOC-1886] Designer示波器功能異常(Zoom in/Zoom out/調整最適合大小),Major,Medium,Closed,徐鳴揚,IA Internal-SC,"jira_voc_sc, oscilloscope",Unassigned,High,240,2026/4/10 下午 12:07,2026/4/21 上午 9:29,2026/5/6 下午 5:23
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,575845,Anomaly,[JIRA] (程式編輯) [IABGVOC-1870] 功能塊變數變更命名後，未自動同步修改至方法,Major,Medium,Review & Approval,潘誠,IA Internal-SC,"escape, jira_voc_sc, programming_lang_ld_edit, programming_lang_st_edit, 1.14.0_initial, issue2auto_todo, need_branch",HARVEY.XIE 謝孟軒,High,240,2026/4/9 下午 3:42,2026/5/15 上午 10:09,2026/5/15 上午 10:09
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,574868,Anomaly,[JIRA] (程式編輯) [IABGVOC-1840] ST Call FB.Method 後不應彈出新增變數至 Pou 的視窗,Major,Medium,Review & Approval,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_lang_st_edit, step_control",KF.LIU 劉桂輔,High,240,2026/4/2 下午 2:21,2026/5/12 下午 2:24,2026/5/12 下午 2:24
Issue,Rev_ProductBacklog_DIADesigner,DIAStudio/DIADesigner,574859,Anomaly,[JIRA] (程式編輯) [IABGVOC-1839] 更新DIADesigner 1.13.0.66_Trial.exe版本後會出現找不到Library的錯誤,Major,High,Review,楊政達,IA Internal-IMSBU,"w3a, jira_voc_ims, librarymanager",Unassigned,High,400,2026/4/2 下午 1:49,,2026/4/21 下午 4:59
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,574683,Anomaly,[JIRA] (程式編輯) [IABGVOC-1831] 使用 DL_MC 底下的 ENUM 成員，線上監控數值與預期不符,Major,High,In Progress,辛昱錦,IA Internal-SC,"w3a, jira_voc_sc, programming_lang_st_monitor, 1.14.0_initial",HARVEY.XIE 謝孟軒,High,400,2026/4/1 下午 5:31,,2026/5/15 下午 3:08
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,574365,Anomaly,"[JIRA] (程式編輯) [IABGVOC-1829] ST Pou 在線監控程序時出現 ""未知序列錯誤""",Critical,High,Verification,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_lang_st_monitor, need_mok_confirm, step_control",UNI.CHEN 陳軍宇,High,600,2026/3/31 下午 2:45,,2026/5/14 下午 7:18
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,572963,Anomaly,"[JIRA] (程式編輯) [IABGVOC-1794] ST 解析特定語法下出現例外錯誤 : ""序列未包含項目"" (支援ST語法機種都有)",Critical,High,Closed,郭德山,IA Internal-SC,"jira_voc_sc, escape, programming_lang_st_edit, step_control, userstory_yes, testcase_done",HARVEY.XIE 謝孟軒,High,600,2026/3/25 下午 3:04,2026/4/20 上午 11:35,2026/4/21 下午 6:12
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,572461,Anomaly,[JIRA] (程式編輯) [IABGVOC-1776] 程序区变量选中需要提示此变量的详细信息,Major,High,Review,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_lang_st_edit, 1.14.0_initial, step_control",HARVEY.XIE 謝孟軒,High,400,2026/3/24 下午 1:54,,2026/4/20 下午 4:50
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,572460,Anomaly,[JIRA] (程式編輯) [IABGVOC-1770] 联合体/结构体没办法声明Array [*] OF Array [*] OF INT变量,Major,High,Review & Approval,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_dut, step_control",JASON.JY.LIN 林峻宇,High,400,2026/3/24 下午 1:53,2026/4/23 上午 9:56,2026/4/23 上午 9:56
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,572385,Anomaly,[JIRA] (專案管理) [IABGVOC-1786] DIADesigner专案名字有写小数点的版本号时，如果另外档案，目前会把最后一个小数点的数值删除掉,Minor,Low,Review & Approval,陳會杰,IA Internal-SC,"w3a, jira_voc_sc, escape, diadesigner_file_save, configuration, 1.14.0_initial",NANCY.TC.YANG 楊采真,High,80,2026/3/24 上午 10:42,2026/5/15 上午 10:42,2026/5/15 上午 10:42
Issue,Designer Rev1.14.0 Sprint1,DIAStudio/DIADesigner,572382,Anomaly,"[JIRA] (程式編輯) [IABGVOC-1771] 結構體初始值設定後報錯: ""String数据类型无法兼容中文数据""",Major,High,In Progress,陳會杰,IA Internal-SC,"w3a, jira_voc_sc, 1.14.0_initial, escape, programming_glovar, step_control, need_branch",MIAO.CHEN 陳炫妙,High,400,2026/3/24 上午 10:31,,2026/5/8 下午 3:30
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,572378,Anomaly,[JIRA] (程式編輯) [IABGVOC-1768] 变量表初值设定错误后无法编辑,Critical,High,In Progress,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_glovar, escape, 1.14.0_initial, step_control",MIAO.CHEN 陳炫妙,High,600,2026/3/24 上午 10:19,,2026/4/27 上午 10:28
Issue,Designer Rev1.14.0 Sprint1,DIAStudio/DIADesigner,572377,Anomaly,[JIRA] (程式編輯) [IABGVOC-1769] ARRAY[*] OF ARRAY[*] OF 2維以上的變量无法设定初始值,Critical,High,In Progress,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_glovar, escape, 1.14.0_initial, step_control, need_branch",MIAO.CHEN 陳炫妙,High,600,2026/3/24 上午 10:12,,2026/5/8 下午 3:33
Issue,Designer Rev1.14.0 Plan,DIAStudio/DIADesigner,572367,Anomaly,[JIRA] (程式編輯) [IABGVOC-1762] 当使用者有开启：自动显示新增变量声明窗口时，理论上REF不算是要自动提醒的范畴，建议评估看是否取消REF的自动提示；,Minor,Medium,Review,陳會杰,IA Internal-SC,"w3a, jira_voc_sc, escape, programming_lang_st_edit",HARVEY.XIE 謝孟軒,High,120,2026/3/24 上午 9:43,,2026/4/9 上午 10:46
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,572356,Anomaly,[JIRA] (程式編輯) [IABGVOC-1766] 变量表数据导入变量类型异常删除,Major,High,Review & Approval,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_glovar, escape, 1.14.0_initial",ORLANDO.LAN 藍順騰,High,400,2026/3/24 上午 8:50,2026/4/29 上午 10:12,2026/4/29 上午 10:12
Issue,Unassigned,DIAStudio/DIADesigner,571907,Anomaly,[JIRA] (專案管理) [IABGVOC-1750] DIA Designer多次開啟project後，每個動作執行時等待時間會增加,Major,High,Review,楊政達,IA Internal-IMSBU,"escape, jira_voc_ims, efficacy, diadesigner_file_load",Unassigned,High,400,2026/3/20 上午 10:37,,2026/3/20 下午 1:51
Issue,Designer Rev1.14.0 Plan,DIAStudio/DIADesigner,565374,Anomaly,[JIRA] (程式編輯) [IABGVOC-1608] DIADesigner 程式區資料夾拖拉功能有機率失敗,Major,Medium,Review,陳會杰,IA Internal-SC,"w3a, jira_voc_sc, programming, escape",ERNO.LIEN 連爾諾,Medium,144,2026/2/9 上午 10:52,,2026/3/25 下午 1:34
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,564366,Anomaly,[JIRA] (硬體配置) [IABGVOC-1578] EtherCAT 從站掃描後的替換拓樸視窗 X 按鈕功能異常,Major,Medium,Closed,辛昱錦,IA Internal-SC,"jira_voc_sc, w3a, escape, devnetwork_ethercat",WILLIAM.HC.SHEN 沈桓慶,High,240,2026/2/2 下午 2:12,2026/2/4 下午 6:42,2026/5/8 下午 1:38
Issue,Requirement Analysis Phase,DIAStudio/DIADesigner,563431,Anomaly,[JIRA] (調適) [IABGVOC-1532] 示波器保存的波形重新打开后发现显示的波形和我们点击的不符，比如命令速度实际上是命令位置,Critical,High,Review,辛昱錦,IA Internal-SC,"w3a, jira_voc_sc, oscilloscope, te_track, 德馬泰克",Unassigned,High,600,2026/1/28 下午 12:30,,2026/3/12 上午 10:36
Issue,Requirement Analysis Phase,DIAStudio/DIADesigner,562353,Anomaly,[JIRA] (調適) [IABGVOC-1506] 示波器由A专案保存，开启B专案后打开示波器后部分变量无法监控到，重启开启关闭示波器也不行,Critical,High,Review,辛昱錦,IA Internal-SC,"w3a, jira_voc_sc, oscilloscope, configuration, te_track, 德馬泰克",Unassigned,High,600,2026/1/23 上午 8:16,,2026/3/12 上午 10:36
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,562265,Anomaly,[JIRA] (調適) [IABGVOC-1503] 德马泰克现场示波器如果打开保存好的波形后再继续进行监控的时候会出现无法监控的情况，必须重新建立变量才行,Blocker,High,Closed,辛昱錦,IA Internal-SC,"w3a, jira_voc_sc, oscilloscope, configuration, 1.13.0_initial, te_track, userstory_yes, 德馬泰克",JOHNNY.MC.YEH 葉明勳,High,1000,2026/1/22 下午 4:09,2026/3/10 上午 11:12,2026/4/21 下午 6:12
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,561437,Anomaly,[JIRA] (程式編輯) [IABGVOC-1479] DIADesigner导入CSV功能，当出现一次提示：包含保留字，请重新命名后，再次导入正常的CSV会提示：文件导入失败,Critical,Medium,Closed,陳會杰,IA Internal-SC,"w3a, jira_voc_sc, escape, programming_variabletable, issue2auto_todo, 1.13.0_initial, userstory_yes",ORLANDO.LAN 藍順騰,High,360,2026/1/19 下午 4:51,2026/3/12 上午 10:48,2026/4/21 下午 6:12
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,561272,Anomaly,[JIRA] (程式編輯) [IABGVOC-1461] 程序区變量監控格顯示為空,Blocker,High,Closed,郭德山,IA Internal-SC,"w3a, jira_voc_sc, programming_lang_st_monitor, escape, 1.13.0_initial, userstory_yes, step_control",STEWARD.LU 呂名峰,High,1000,2026/1/19 上午 10:23,2026/3/10 上午 11:42,2026/5/14 下午 7:18
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,560402,Anomaly,[JIRA] (調適) [IABGVOC-1457] 示波器無法監控帶有變數表名稱前綴的全域變數,Major,Medium,Closed,陳會杰,IA Internal-SC,"jira_voc_sc, oscilloscope, w3a, escape, issue2auto_todo, configuration, 1.13.0_initial, userstory_yes",JOHNNY.MC.YEH 葉明勳,High,240,2026/1/15 下午 12:16,2026/3/13 下午 4:00,2026/4/21 下午 6:12
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,560108,Anomaly,[JIRA] (硬體配置) [IABGVOC-1449] 重複新增、刪除 EtherCAT 從站 or DM 軸配置後編譯出現 C0115 錯誤,Critical,High,Closed,辛昱錦,IA Internal-SC,"w3a, jira_voc_sc, devnetwork_ethercat, devhardware, escape, userstory_yes, testcase_done",HENRY.DENG 鄧亨禮,High,600,2026/1/14 上午 11:33,2026/1/23 上午 10:05,2026/4/21 下午 6:15
Issue,Designer Rev1.14.0 Plan,DIAStudio/DIADesigner,558369,Anomaly,[JIRA] (程式編輯) [IABGVOC-1412] ST 特定語法結構下，導致變數同步修改功能異常,Major,Medium,Review,楊政達,IA Internal-IMSBU,"escape, programming_lang_st_edit, jira_voc_ims",ORLANDO.LAN 藍順騰,High,240,2026/1/6 上午 10:59,,2026/4/7 下午 7:11
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,556328,Anomaly,[JIRA] (運動控制) [IABGVOC-1380] Direction脚位和BufferMode脚位在线监控时显示英文名称，鼠标拖拽编程窗口后，又变成显示数字。,Minor,Medium,Closed,韓軼,IA Internal-SC,"programming_lang_ld_monitor, escape, 1.12.0_add, jira_voc_sc, userstory_yes",ELVIS.CT.CHANG 張錦宗,High,120,2025/12/22 下午 6:41,2026/1/15 下午 2:18,2026/5/14 下午 7:18
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,555651,Anomaly,[JIRA] (專案管理) [IABGVOC-1376] 專案儲存失敗，視窗提示：System.OutOfMemoryException' was thrown,Critical,High,Closed,陳嘉俊,IA Internal-IMSBU,"w3a, jira_voc_ims, diadesigner_file_save, 1.12.0_add, userstory_yes, testcase_done, issue2auto_todo",HARVEY.XIE 謝孟軒,High,360,2025/12/17 下午 7:01,2026/1/12 下午 5:12,2026/4/21 下午 6:15
Issue,Designer Rev1.14.0 Plan,DIAStudio/DIADesigner,554981,Anomaly,[JIRA] (專案管理) [IABGVOC-1361] DIADesigner变量处复制某一个变量名称，然后点击了其他行变量，再想粘贴之前的内容，无法粘贴,Minor,Low,Review,陳會杰,IA Internal-SC,"jira_voc_sc, w3a, diadesigner_edit_searchreplace, escape",ORLANDO.LAN 藍順騰,High,80,2025/12/15 下午 1:34,,2026/2/9 上午 8:53
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,554959,Anomaly,[JIRA] (程式編輯) [IABGVOC-1362] 在变量处右键：跳转到寄存器使用状况，会弹出报错：未将对象引用设置到对象的实例,Critical,High,Closed,陳會杰,IA Internal-SC,"jira_voc_sc, w3a, programming_lang_st_edit, escape, 1.12.0_add, userstory_yes, testcase_done",LUCIAN.LS.OUYANG 歐陽龍祥,High,600,2025/12/15 下午 1:10,2026/1/7 下午 7:59,2026/4/21 下午 6:15
Issue,Designer Rev1.13.0 Sprint1,DIAStudio/DIADesigner,554043,Anomaly,[JIRA] (調適) [IABGVOC-1343] 快速連線按鈕連線成功後，示波器執行按鈕狀態仍為Disable,Major,Medium,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, w3a, oscilloscope, 1.13.0_initial, configuration, userstory_yes",JOHNNY.MC.YEH 葉明勳,High,240,2025/12/8 下午 5:44,2026/3/3 上午 9:07,2026/4/21 下午 6:12
Issue,Designer Rev1.13.0 Sprint1,DIAStudio/DIADesigner,552914,Anomaly,[JIRA] (程式編輯) [IABGVOC-1308] Designer 寫IF判斷式後會變更變數名稱 f 變 F,Major,Medium,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, w3a, programming_lang_st_edit, 1.13.0_initial, userstory_yes, testcase_done",MIAO.CHEN 陳炫妙,High,240,2025/12/2 上午 9:43,2026/3/11 下午 2:53,2026/4/21 下午 6:12
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,552265,Anomaly,[JIRA] (調適) [IABGVOC-1304] 1.11.0.189 版本示波器使用過程中發生閃退,Critical,High,Closed,何平,IA Internal-SC,"jira_voc_sc, oscilloscope, w3a, 1.12.0_add",JOHNNY.MC.YEH 葉明勳,High,120,2025/11/27 下午 1:14,2026/3/17 下午 2:56,2026/4/21 下午 6:15
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,552263,Anomaly,[JIRA] (調適) [IABGVOC-1301] 示波器運行中顯示的數值與停止時顯示的數值不同,Major,High,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, w3a, oscilloscope, 1.12.0_add, userstory_yes, configuration",JOHNNY.MC.YEH 葉明勳,High,400,2025/11/27 下午 1:01,2026/3/3 上午 11:34,2026/4/21 下午 6:15
Issue,Unassigned,DIAStudio/DIADesigner,552260,Anomaly,[JIRA] (調適) [IABGVOC-1295] DIADesigner 1.12.0.27_Trial版本示波器無法紀錄PLC Variable,Major,High,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, w3a, oscilloscope",Unassigned,High,400,2025/11/27 下午 12:51,2025/11/27 下午 12:51,2025/11/27 下午 12:51
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,551477,Anomaly,[JIRA] (調適) [IABGVOC-1290] DIADesigner Scope 無法使用二維參數,Major,Medium,Closed,吳宗庭,IA Internal-IMSBU,"jira_voc_ims, w3a, oscilloscope, 1.12.0_add, userstory_yes, configuration, 1.13.0_initial, testcase_done",JOHNNY.MC.YEH 葉明勳,High,240,2025/11/24 下午 3:03,2026/4/21 下午 4:55,2026/4/22 下午 3:09
Issue,Designer Rev1.12.0 Sprint2,DIAStudio/DIADesigner,551258,Anomaly,[JIRA] (程式編輯) [IABGVOC-1289] DIADesigner 1.12.0.27_Trial版本無法對自定義TPYE配置Address，前一版可以,Critical,High,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, w3a, programming_glovar",Unassigned,High,600,2025/11/21 下午 5:40,2025/11/25 下午 4:58,2026/5/8 下午 5:08
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,549175,Anomaly,[JIRA] (運動控制) [IABGVOC-1259] 轴配置传动机制设置页面，轴样式设置选择线性轴，机构类型包括丝杆和皮带轮，轴样式设置选择旋转轴，机构类型包括圆盘，但是有机会线性轴时选择到圆盘，旋转轴时选择到丝杆和皮带轮,Major,Medium,Closed,韓軼,IA Internal-SC,"motion_axisset, 1.12.0_initial, jira_voc_sc, userstory_yes, testcase_done",JACKY.TU 杜寧,High,240,2025/11/10 下午 1:35,2025/12/29 下午 5:12,2026/4/21 下午 6:15
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,548867,Anomaly,[JIRA](調適) [IABGVOC-1246] DIA Designer示波器能錄4CH、16KHZ、32bit，但ASDA_SOFT可以錄8CH、16KHZ、32bit,Major,High,Review & Approval,楊政達,IA Internal-IMSBU,"oscilloscope, w3a, 1.12.0_add, userstory_yes, 1.13.0_initial, testcase_done",JENNY.HY.CHEN 陳湘筠,High,400,2025/11/7 上午 12:53,2026/4/24 下午 3:50,2026/4/24 下午 4:16
Issue,Unassigned,DIAStudio/DIADesigner,548866,Anomaly,[JIRA](調適) [IABGVOC-1248] 重開DIA Designer，示波器PLC Variable的通道會變紅色，需重新輸入,Major,Medium,Closed,楊政達,IA Internal-IMSBU,"oscilloscope, w3a",Unassigned,High,240,2025/11/7 上午 12:34,2025/11/10 下午 2:39,2025/11/10 下午 2:54
Issue,Designer Rev1.14.0 Sprint1,DIAStudio/DIADesigner,547507,Anomaly,[JIRA] (運動控制) [IABGVOC-1227] 傳動機制參數設定欄位，沒有按下 Enter 鍵單獨脫離 Focus 不會觸發檢查機制,Critical,High,Review & Approval,辛昱錦,IA Internal-SC,"jira_voc_sc, w3a, motion_axisset, escape, 1.14.0_initial, userstory_yes, testcase_done",JACKY.TU 杜寧,High,600,2025/10/31 上午 11:34,2026/4/21 下午 12:20,2026/5/8 下午 3:30
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,547505,Anomaly,[JIRA] (網路配置) [IABGVOC-1226] 專案複製后新增DM或者外擴軸時會報錯IO地址分配錯誤，按RD意思刪掉之前舊的DM和外擴，但重新添加后依舊會報錯，此問題已經影響進度，麻煩儘快解決,Blocker,High,Closed,辛昱錦,IA Internal-SC,"jira_voc_sc, w3a, devnetwork_ethercat_iomapping, escape, userstory_yes, testcase_done, 1.12.0_add, issue2auto_todo",JEAN.LC.WANG 王儷臻,High,1000,2025/10/31 上午 11:20,2025/12/2 下午 12:46,2026/5/11 上午 11:27
Issue,Unassigned,DIAStudio/DIADesigner,546851,Anomaly,[JIRA] (調適) [IABGVOC-1221] 示波器监控PLC变量，想要监控BufferMode模式（0~5），示波器监控项目添加BufferMode变量，启用后，开启示波器，所有监控变量均不显示，取消启用后，其他监控变量可以正常显示 告等参数，读出的结果也和计算结果相同,Major,Medium,Closed,韓軼,IA Internal-SC,"oscilloscope, jira_voc_sc",Unassigned,High,240,2025/10/28 上午 9:45,2025/11/10 下午 12:55,2025/12/29 上午 10:02
Issue,Designer Rev1.13.0 Sprint1,DIAStudio/DIADesigner,545884,Anomaly,[JIRA] (專案管理) [IABGVOC-1210] W3A.pkg-0.3.7.0-6761412前一版本已安裝過但DIADesigner更新後須再更新一次W3A.pkg-0.3.7.0-6761412,Major,Medium,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, w3a, 1.12.0_initial, userstory_yes, 1.13.0_initial",JEAN.LC.WANG 王儷臻,High,240,2025/10/21 上午 9:50,2026/2/23 上午 10:26,2026/4/21 下午 6:12
Issue,Designer Rev1.11.0 Sprint3,DIAStudio/DIADesigner,544096,Anomaly,[JIRA] (模組編輯) [IABGVOC-1204] 在修改PLC的 Controller参数编辑器时弹出例外視窗,Critical,Low,Closed,陳會杰,IA Internal-SC,"jira_voc_sc, parameter_editor, w3a",ARCHIE.YANG 楊浩群,Medium,48,2025/10/9 上午 10:51,2025/11/5 下午 4:35,2025/11/26 上午 9:38
Issue,Unassigned,DIAStudio/DIADesigner,543877,Anomaly,[JIRA] (專案管理) [IABGVOC-1203] DIADesigner打開專案發生錯誤，程式內容全消失,Critical,Medium,Closed,陳嘉俊,IA Internal-SC,"jira_voc_ims, diadesigner_file_load, w3a",Unassigned,High,360,2025/10/7 下午 3:54,2025/10/14 上午 9:50,2025/10/16 下午 1:21
Issue,Designer Rev1.11.0 Sprint3,DIAStudio/DIADesigner,543531,Anomaly,[JIRA] (調適) [IABGVOC-1199] DIA Designer示波器無法使用,Blocker,High,Closed,楊政達,IA Internal-IMSBU,"jira_voc_ims, oscilloscope, w3a",JOHNNY.MC.YEH 葉明勳,High,1000,2025/10/3 上午 8:36,2025/10/22 上午 10:12,2025/10/30 下午 5:19
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,543401,Anomaly,[JIRA] (專案管理) [IABGVOC-1156] [W3A] DIADesigner傳輸專案跳Download Failure,Blocker,High,Closed,施明和,IA Internal-IMSBU,"jira_voc_ims, downloaduploadmgr, efficacy, w3a, 1.12.0_initial, userstory_yes, testcase_done, escape",WILLIAM.HC.SHEN 沈桓慶,High,400,2025/10/2 上午 9:35,2026/2/4 上午 10:08,2026/4/21 下午 6:16
